WORD RANK FREQUENCY
, 1 2892
. 2 1886
the 3 860
' 4 729
and 5 606
to 6 576
of 7 576
: 8 565
I 9 553
you 10 479
? 11 459
a 12 449
my 13 435
in 14 359
it 15 354
Ham 16 337
is 17 304
; 18 298
not 19 286
his 20 266
And 21 257
that 22 257
your 23 233
this 24 232
me 25 227
d 26 223
with 27 212
Lord 28 211
him 29 178
be 30 176
King 31 172
for 32 169
haue 33 161
he 34 160
but 35 146
so 36 145
as 37 142
The 38 133
will 39 131
on 40 123
s 41 122
That 42 120
our 43 118
- 44 117
what 45 116
are 46 113
To 47 109
shall 48 104
But 49 103
Hamlet 50 99
we 51 98
What 52 95
Hor 53 95
all 54 95
thou 55 93
no 56 91
by 57 91
her 58 90
t 59 89
do 60 84
thy 61 83
more 62 83
Enter 63 82
from 64 80
was 65 77
good 66 76
Oh 67 76
For 68 76
then 69 75
like 70 73
or 71 73
they 72 72
come 73 70
know 74 70
at 75 69
now 76 68
them 77 67
My 78 67
selfe 79 66
there 80 66
most 81 65
if 82 65
It 83 65
vs 84 64
As 85 63
A 86 62
Qu 87 62
let 88 62
would 89 60
Laer 90 60
well 91 60
thee 92 58
Ile 93 58
may 94 56
Ophe 95 56
too 96 55
How 97 55
th 98 54
must 99 53
did 100 52
should 101 52
am 102 50
hath 103 49
If 104 49
out 105 49
Pol 106 49
an 107 48
speake 108 48
You 109 48
Why 110 47
Sir 111 47
loue 112 46
Father 113 46
such 114 46
No 115 46
their 116 46
make 117 45
( 118 45
doe 119 44
This 120 44
very 121 44
So 122 44
see 123 44
say 124 44
Rosin 125 43
) 126 43
some 127 42
thinke 128 42
With 129 42
man 130 42
Let 131 42
He 132 42
heere 133 42
much 134 42
mine 135 41
In 136 41
Horatio 137 40
one 138 40
giue 139 39
which 140 39
vpon 141 39
tell 142 39
tis 143 39
Queene 144 39
had 145 38
Polon 146 38
Mother 147 37
time 148 37
go 149 36
O 150 36
Heauen 151 36
death 152 36
she 153 35
Laertes 154 35
Come 155 34
againe 156 34
how 157 34
Of 158 34
these 159 34
vp 160 34
thus 161 33
Then 162 33
can 163 33
where 164 32
o 165 31
Mar 166 31
owne 167 31
life 168 30
heare 169 30
Or 170 30
We 171 30
Tis 172 30
made 173 29
st 174 29
night 175 29
Clo 176 29
downe 177 28
might 178 28
Ophelia 179 28
dead 180 27
yet 181 27
hast 182 27
when 183 27
could 184 26
cannot 185 26
There 186 26
God 187 26
matter 188 25
& 189 25
Nay 190 25
Play 191 25
thing 192 25
heart 193 24
were 194 24
Where 195 24
Who 196 24
Now 197 24
leaue 198 24
Is 199 24
When 200 24
away 201 23
done 202 23
doth 203 23
l 204 23
re 205 23
into 206 23
nothing 207 23
Exeunt 208 23
take 209 22
call 210 22
both 211 22
head 212 22
world 213 22
day 214 22
true 215 22
Good 216 22
comes 217 22
i 218 21
ha 219 21
Which 220 21
two 221 21
Ghost 222 21
put 223 21
hold 224 21
Denmarke 225 20
Do 226 20
Guild 227 20
Your 228 20
pray 229 20
Loue 230 20
seene 231 20
Polonius 232 20
set 233 20
Giue 234 20
England 235 20
off 236 19
those 237 19
poore 238 19
great 239 19
sweet 240 19
whose 241 19
shew 242 19
Players 243 19
faire 244 19
His 245 19
himselfe 246 19
Fathers 247 19
nor 248 18
Will 249 18
once 250 18
eyes 251 18
looke 252 18
Osr 253 18
who 254 18
Exit 255 18
feare 256 18
Sonne 257 18
play 258 18
They 259 18
indeed 260 18
hand 261 18
meanes 262 18
Nature 263 18
Soule 264 18
eare 265 17
words 266 17
does 267 17
any 268 17
neuer 269 17
Haue 270 17
! 271 17
deere 272 17
part 273 17
end 274 17
against 275 17
mad 276 17
Guildensterne 277 17
hee 278 16
first 279 16
old 280 16
about 281 16
Be 282 16
keepe 283 16
By 284 16
follow 285 16
though 286 16
other 287 15
sir 288 15
soule 289 15
bee 290 15
goe 291 15
within 292 15
thoughts 293 15
liue 294 15
better 295 15
long 296 15
Noble 297 15
while 298 15
many 299 15
All 300 14
sent 301 14
body 302 14
makes 303 14
still 304 14
heard 305 14
Thou 306 14
Kin 307 14
Not 308 14
Nor 309 14
euen 310 14
beleeue 311 14
rest 312 13
said 313 13
thine 314 13
why 315 13
Looke 316 13
breath 317 13
drinke 318 13
before 319 13
gone 320 13
speech 321 13
Gertrude 322 13
same 323 13
euer 324 13
saw 325 13
Fortinbras 326 13
Vpon 327 13
wee 328 13
Would 329 13
madnesse 330 13
Reynol 331 13
else 332 13
finde 333 13
Our 334 12
Most 335 12
thought 336 12
At 337 12
goes 338 12
further 339 12
eye 340 12
cause 341 12
betweene 342 12
vse 343 12
Other 344 12
beene 345 12
selues 346 12
beare 347 12
Both 348 12
Gentlemen 349 12
Madam 350 12
tongue 351 12
fit 352 12
little 353 12
foule 354 12
farre 355 12
Go 356 12
youth 357 12
command 358 11
Friends 359 11
way 360 11
Well 361 11
please 362 11
welcome 363 11
meane 364 11
last 365 11
Graue 366 11
right 367 11
Vertue 368 11
blood 369 11
kinde 370 11
ere 371 11
bed 372 11
purpose 373 11
Did 374 11
Rosincrance 375 11
stand 376 11
earth 377 11
ye 378 11
name 379 10
Yet 380 10
Till 381 10
She 382 10
Heauens 383 10
Earth 384 10
Spirit 385 10
Pyrrhus 386 10
Lady 387 10
word 388 10
winde 389 10
sleepe 390 10
Farewell 391 10
none 392 10
These 393 10
oft 394 10
question 395 10
helpe 396 10
Are 397 10
Take 398 10
men 399 10
Marcellus 400 10
best 401 10
Guil 402 10
second 403 10
honest 404 10
late 405 10
Barn 406 10
free 407 10
alone 408 10
after 409 10
Sword 410 10
since 411 9
Indeed 412 9
without 413 9
giuen 414 9
Hora 415 9
art 416 9
Night 417 9
Brothers 418 9
Fortune 419 9
three 420 9
daughter 421 9
things 422 9
May 423 9
Gho 424 9
Make 425 9
draw 426 9
fine 427 9
being 428 9
till 429 9
deare 430 9
Alas 431 9
hands 432 9
something 433 9
mee 434 9
neere 435 9
Ayre 436 9
Marry 437 9
State 438 9
walke 439 9
voyce 440 9
ought 441 9
face 442 9
strange 443 9
Gentleman 444 9
bring 445 9
poyson 446 9
full 447 9
young 448 9
fire 449 9
excellent 450 9
Reason 451 8
Say 452 8
deed 453 8
common 454 8
Pray 455 8
each 456 8
sight 457 8
Queen 458 8
euery 459 8
remember 460 8
minde 461 8
Art 462 8
answer 463 8
heauen 464 8
whole 465 8
hither 466 8
wilt 467 8
Hell 468 8
Thus 469 8
forme 470 8
Th 471 8
Villaine 472 8
friends 473 8
kill 474 8
Barnardo 475 8
wrong 476 8
Armes 477 8
seeme 478 8
power 479 8
eares 480 8
Action 481 8
Watch 482 8
Whose 483 8
Hath 484 8
Reuenge 485 8
On 486 8
Sister 487 8
Heere 488 8
ground 489 8
verie 490 8
beseech 491 8
marke 492 8
top 493 8
worke 494 8
Fran 495 8
Maiesty 496 8
pardon 497 8
Had 498 8
Kings 499 8
therefore 500 8
woe 501 8
Friend 502 8
thousand 503 8
businesse 504 8
Madnesse 505 8
Musicke 506 7
bin 507 7
bad 508 7
duty 509 7
came 510 7
lesse 511 7
seeke 512 7
times 513 7
Like 514 7
lost 515 7
Sweare 516 7
Daughter 517 7
dost 518 7
thanke 519 7
Euen 520 7
Hamlets 521 7
grow 522 7
lye 523 7
grace 524 7
Was 525 7
stay 526 7
Time 527 7
Thy 528 7
Doe 529 7
Neuer 530 7
greefe 531 7
sit 532 7
Wee 533 7
Newes 534 7
gaue 535 7
together 536 7
touch 537 7
borne 538 7
fall 539 7
peace 540 7
From 541 7
light 542 7
Act 543 7
faith 544 7
Bar 545 7
another 546 7
knowne 547 7
receiue 548 7
Husband 549 7
Letters 550 7
Maiestie 551 7
Table 552 7
look 553 7
Speake 554 7
sure 555 7
ouer 556 6
begge 557 6
Brother 558 6
Therefore 559 6
false 560 6
water 561 6
wager 562 6
hot 563 6
doubt 564 6
fell 565 6
Honor 566 6
ill 567 6
cold 568 6
sound 569 6
through 570 6
buried 571 6
Danish 572 6
almost 573 6
moue 574 6
Grace 575 6
double 576 6
Gods 577 6
ore 578 6
withall 579 6
quicke 580 6
hope 581 6
twere 582 6
shame 583 6
woman 584 6
marry 585 6
Dane 586 6
wife 587 6
memory 588 6
breake 589 6
Fortunes 590 6
watch 591 6
needs 592 6
Murther 593 6
passion 594 6
dangerous 595 6
Out 596 6
fat 597 6
Mothers 598 6
dayes 599 6
here 600 6
dumbe 601 6
sword 602 6
enough 603 6
obey 604 6
charge 605 6
teares 606 6
takes 607 6
pale 608 6
desire 609 6
round 610 6
Heart 611 6
home 612 6
Phrase 613 6
vnderstand 614 6
Though 615 6
mouth 616 6
More 617 6
Crowne 618 6
One 619 6
lay 620 6
Scull 621 6
fashion 622 6
fellow 623 6
yong 624 6
dust 625 6
proofe 626 6
Maid 627 6
Ha 628 6
shape 629 6
sayes 630 6
