Job Family,Total Benefits,Total Compensation,Percentage
Administrative-DPW/PUC,51357.65,211601.43,4.120154056893179
Fire Services,41434.13198777371,203525.46785052246,4.912024412882072
Management,51668.104999999996,191391.52000000002,3.7042488784908993
Administrative-Labor & Trades,40301.818717948714,183350.85743589743,4.549443753868129
Medical & Dental,37357.501818181816,172121.80363636365,4.607422746683568
Police Services,33461.61712724427,169422.24612021836,5.063181659032123
Public Safety Inspection,40492.05741935484,163378.16109677433,4.034819950113995
Supervisory-Labor & Trade,39170.36342892771,160638.26568578553,4.101015452084178
Correction & Detention,35272.27443659485,153870.78922642194,4.362372194144123
Journeyman Trade,36772.678593241,142543.27119299633,3.8763363629212613
Health & Sanitation Inspection,38702.501818181816,141710.38454545455,3.6615303375266888
"Lab, Pharmacy & Med Techs",35148.5193220339,138758.96140435833,3.947789667412053
Probation & Parole,33941.60400000001,133933.51385714288,3.945998364047346
Construction Inspection,34578.04464419475,130123.71786516863,3.7631890178907175
Airport Operation,34531.437718550114,126629.4809381663,3.6670781555713097
Port Operation,32223.25,121815.55,3.780362005694646
Legal & Court,31545.4952688172,120310.69010752688,3.8138786245798553
Skilled Labor,31783.017835723564,118824.55400260737,3.738617730285216
Protection & Apprehension,30955.77044768071,113533.21590075517,3.6675945795838327
Nursing,28294.720922266206,110956.63416776467,3.9214606312108424
Human Services,30504.52149540515,107980.90344193834,3.539832724738965
Hospital Administration,31508.7717948718,107011.03166666663,3.396229861428086
Street Transit,32240.61702644686,106717.48690250752,3.3100323984174236
"Payroll, Billing & Accounting",30304.722010869562,102787.54923913044,3.3917997730605505
Purchasing & Storekeeping,29026.18622406641,100636.11443983405,3.467080162132836
Pub Relations & Spec Assts,29035.901,100549.64800000002,3.4629422383000965
Professional Engineering,27774.197659574475,100512.80319148934,3.618927337648582
Agriculture & Horticulture,29578.258461538462,100279.34669683248,3.3903059852975748
Med Therapy & Auxiliary,27745.85527607362,95597.20297546007,3.4454588631080125
Property Administration,26791.14333333333,93551.40999999999,3.4918782239354473
"Budget, Admn & Stats Analysis",26404.129523809523,91785.63166666667,3.476184722692728
Public Health,27525.28,90574.9,3.2906077613016107
Information Systems,25485.276617647054,90188.0098529412,3.5388279753059977
Semi-Skilled & General Labor,26485.57201492541,89463.69062189052,3.3778273911348817
Housekeeping & Laundry,27542.950638629274,89353.14063862932,3.244138284636455
SF Superior Court,26054.288,88933.732,3.413400972615333
Library,25567.530000000002,86808.41750000001,3.3952602187227314
Sub-Professional Engineering,24438.911237113403,86482.07185567006,3.5387039552047113
Museum & Cultural Affairs,26548.462,79514.714,2.9950779822951707
Computer Operatns & Repro Svcs,22222.89390070922,73466.20546099292,3.3058793237836737
Park & Zoo,24215.619428571434,72228.71085714287,2.9827323257286547
Dietary & Food,18344.15466165413,61278.415288220574,3.3404872788340834
Revenue,18637.744375000006,58102.720625,3.1174759915119816
Personnel,14495.32328125,48918.71898437502,3.3747932374611054
Emergency Services,12765.359999999999,44038.855,3.449871762331811
Public Service Aide,13650.231153846156,38340.87318681318,2.808807613196357
"Clerical, Secretarial & Steno",11203.637916041973,37675.82889805095,3.3628210033550503
Recreation,5745.457777777778,19226.589166666665,3.3463981305425423
Energy & Environment,3309.92,12759.42,3.8549028375308163
Community Development,229.67,735.11,3.2007227761570953
,0.0,0.0,0.0
